##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;エラー:510;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;2) '%d' is for indicating where another integer value is inserted, and MAY NEVER BE REMOVED! If there are more than one '%d' in a string, they may not change places. ('%.1f' is used in exactly the same way but for non-integer values ?  '%c%d' is used for values that are displayed with a '+' or '-' sign in front, DO NOT CHANGE, ADD, OR REMOVE!);;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;4) The characters '#' (hashmark), semicolon, '%' (percentage sign), '?' (paragraph sign), quotation marks and '\' (backslash) MAY NOT BE USED (except when used as control codes ? this will otherwise create serious problems!!! Quotation marks may not even be used in comments -- use a 'citation mark' (single) instead if necessary!);;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;ｧW = white text;;;;;;;;;;X
##;ｧY = orange text;;;;;;;;;;X
##;Note that the color change will be applied to all words after the code, until the end of the line that the word is printed on. If several words should have a color change, put the code in front of each of them to be on the safe side. If only one word should have a color change, make sure to reset the color after the word.;;;;;;;;;;X
##;9) Unless otherwise specifically stated, length of words and texts does not really matter THAT much (message boxes, rollover help boxes and buttons WILL stretch to fit the text string) ? however you will notice once the translation is inserted that space IS limited in quite a few areas? so be brief, and try not to use words that are considerably longer than the english original.;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not not exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;エラー:510;エラー:510;エラー:510;エラー:510;エラー:510;エラー:510;エラー:510;エラー:510;;エラー:510;X
BUTTON_0041;「ゲーム設定」の表示（F10キー）;View Game Settings (F10);;;;;;;;;X
RR_IN_PROV;%sの反乱危険率は%d\%%です。;The revolt risk in %s is %d percent.;;;;;;;;;X
DIPEACETREATY;%s との和平協定の有効期限は %s です。;Peace Treaty with %s until %s.;;;;;;;;;X
PO_SEPARATE;単独講和;Separate Peace;;;;;;;;;X
PO_ALLIANCE;同盟のために;For the Alliance;;;;;;;;;X
##;;;;;;;;;;;X
PROV_ESE;このプロヴィンスにおける、あなたの軍への有効補給効率（ESE）は現在%.2f\%%です。;Effective Supply Efficiency in this province for your forces is currently %.2f percent.;;;;;;;;;X
ESE_TXT;ESE： %.2f\%%;Effective Supply Efficiency: %.2f percent;;;;;;;;;X
ESE_NAME;有効補給効率（ESE）;Effective Supply Efficiency;;;;;;;;;X
ESE_AVERAGE;師団の平均有効補給効率： %.2f\n;Average Division ESE: %.2f\n;;;;;;;;;X
ESE_INFRA;インフラ： %.2f\n;Infrastructure: %.2f\n;;;;;;;;;X
ESE_HQ;司令部ボーナス： %.2f\n;HQ Bonus: %.2f\n;;;;;;;;;X
ESE_TOTAL;（平均 %.2f＋インフラ： %.2f）/2＋本部 %.2f;(Average %.2f + Infra: %.2f) /2 + HQ %.2f;;;;;;;;;X
ESE_LW;兵站管理ボーナス： %.2f\n;Logistics Wizard Bonus: %.2f\n;;;;;;;;;X
ESE_TOTAL_LW;(平均値 %.2f + インフラ： %.2f) /2 + 兵站管理 %.2f + 司令部 %.2f;(Average %.2f + Infra: %.2f) /2 + LW %.2f + HQ %.2f;;;;;;;;;X
HP_ATWARWITHUS;我が国と交戦中です。;We are at War;;;;;;;;;X
HP_ALLYTWITHUS;我が国と同盟を結んでいます。;We are allied.;;;;;;;;;X
TOVV_HQESE;司令部ESEボーナス;HQ ESE Bonus;;;;;;;;;X
TOVV_GDEF;対地防御効率;Ground Defense Efficiency;;;;;;;;;X
TOVV_HQCOMCHA;司令部ボーナス確率;HQ Bonus chance;;;;;;;;;X
RCDM_CANCEL_TRADE_AGREEMENT;貿易協定を破棄する;Cancel Trade Agreement;;;;;;;;;X
AT_DATE;ｧY日付： %s\n;ｧYAt: %s\n;;;;;;;;;X
BETWEEN_DATE;ｧY%sと%sの間\n;ｧYBetween %s and %s\n;;;;;;;;;X
##;;;;;;;;;;;X
TOVV_CDEF;輸送船団の護衛効率;Convoy Escort Efficiency;;;;;;;;;X
TOVV_LFEF;陸上要塞の防御効率;Land Fort Efficiency;;;;;;;;;X
TOVV_CFEF;沿岸要塞の防御効率;Coast Fort Efficiency;;;;;;;;;X
BATTLE_DPROGRESS;防御側が攻撃側の撃退に%.1f近づきました。;The defenders have made %.1f percent progress in their effort to repulse the attackers.;;;;;;;;;X
BATTLE_APROGRESS;攻撃側が防御側の撃破に%.1f近づきました。;The attackers have made %.1f percent progress in their effort to defeat the defenders.;;;;;;;;;X
DEV_REDEPLOY_T_IRO;このユニットは再配備中です。;This unit is currently being redeployed.;;;;;;;;;X
ETA;ETA;ETA;;;;;;;;;X
##;;;;;;;;;;;X
NOPOSSBRIGADE;この種類のユニットには旅団を配備することはできません。;No brigades can be attached to this type of unit.;;;;;;;;;X
ATTACHTOTHIS;このユニットに配備できる旅団は次のとおりです。\n;You can attach the following brigades to this unit.\n;;;;;;;;;X
ATTACHTHIS;この旅団を配備できるのは\n;This brigade can be attached to\n;;;;;;;;;X
##;;;;;;;;;;;X
CAPITAL;首都：;Capital: ;;;;;;;;;X
##;;;;;;;;;;;X
AIRBASE_IRO;航空基地\n現在の規模： %.2f/%.0f\n----------------------------------\n;Airbase\nCurrent Size: %.2f/%.0f\n----------------------------------\n;;;;;;;;;X
ORG_REGAIN_IRO;日ごとの回復度;Daily regain;;;;;;;;;X
NOSTRATREDEP;守備師団を戦略的再配備できる技術を開発していなければ、守備師団を移動させることはできません。;You can not move your garrison divisions unless you have developed the technology which allows you to strategically redeploy them.;;;;;;;;;X
TRANSPORT_MAY_NOTFIRE;輸送艦は戦闘で攻撃を行うことはできません。;A transport can not fire in combat.;;;;;;;;;X
ZEROORG_MAY_NOTFIRE;このユニットは指揮統制率と士気が低すぎて、この戦闘ラウンドでは何もできません。;This unit is too disorganized and demoralized to do anything in this round of combat.;;;;;;;;;X
NOTARGETSRANGE;この任務の活動範囲内に目標は存在しません。;There are no targets within range for this mission.;;;;;;;;;X
PRIOICON_IRO;このユニットは戦力補充や改良を優先的に受けられます。;This unit is prioritized for reinforcements and upgrades.;;;;;;;;;X
BEACH_IRO;このプロヴィンスには敵軍が上陸するのに十分な広さの浜辺があります。;This province has enough beaches to allow a hostile army to land on.;;;;;;;;;X
PROV_DEPOT;このプロヴィンスには次のような種類の資源備蓄庫があります：\n;This province contains a depot with the following resources:\n;;;;;;;;;X
BUTTON_0004;;;;;;;;;;;X
BUTTON_0003;;;;;;;;;;;X
BUTTON_0005;;;;;;;;;;;X
BUTTON_0006;;;;;;;;;;;X
BUTTON_0007;;;;;;;;;;;X
BUTTON_0081;;;;;;;;;;;X
BUTTON_0014;;;;;;;;;;;X
BUTTON_0015;;;;;;;;;;;X
BUTTON_0016;;;;;;;;;;;X
BUTTON_0017;;;;;;;;;;;X
BUTTON_0020;;;;;;;;;;;X
BUTTON_0021;;;;;;;;;;;X
BUTTON_0024;;;;;;;;;;;X
BUTTON_0065;;;;;;;;;;;X
BUTTON_0066;;;;;;;;;;;X
BUTTON_0073;;;;;;;;;;;X
BUTTON_0074;;;;;;;;;;;X
BUTTON_0201;;;;;;;;;;;X
BUTTON_0083;;;;;;;;;;;X
BUTTON_0202;;;;;;;;;;;X
BUTTON_0084;;;;;;;;;;;X
BUTTON_0085;;;;;;;;;;;X
BUTTON_0203;;;;;;;;;;;X
BUTTON_0086;;;;;;;;;;;X
BUTTON_0204;;;;;;;;;;;X
BUTTON_0087;;;;;;;;;;;X
BUTTON_0213;;;;;;;;;;;X
BUTTON_0097;;;;;;;;;;;X
BUTTON_0099;;;;;;;;;;;X
BUTTON_0101;;;;;;;;;;;X
BUTTON_0103;;;;;;;;;;;X
BUTTON_0105;;;;;;;;;;;X
BUTTON_0107;;;;;;;;;;;X
BUTTON_0109;;;;;;;;;;;X
##;;;;;;;;;;;X
EE_NUKE_PROD;G弾生産速度が2倍になる。;Doubles the rate of atomic bomb production.;;;;;;;;;X
EE_PATTERN_CHANGE;%sの天候が%sに変わる。;Weather in %s changed to %s. ;;;;;;;;;X
EE_MONEY;資金： %+.1f;Money: %+.1f;;;;;;;;;X
EE_NO_EFFECT;ただちに影響はない。;No Immediate Effect;;;;;;;;;X
EE_CHANGE_CAMPAIGN;「%s」キャンペーンに切り替える。;Switch to the '%s' campaign.;;;;;;;;;X
EE_ENDGAME;現在のキャンペーンを終了して、メインメニューに戻る;End the current campaign, and return to the main menu;;;;;;;;;X
EE_PROTECT;%sが参戦している戦争にすべて参戦する。;Join all wars %s is in.;;;;;;;;;X
EE_EXTRA_TC;輸送能力： %s%d;Extra Transport Capacity: %s%d;;;;;;;;;X
EE_ENABLE_TASK;実行可能になる任務： %s;Enable Mission Type: %s.;;;;;;;;;X
EE_ACTIVATE_DIVISION;ユニット%sを%sで臨戦態勢をとらせる。;Activate the unit %s in %s.;;;;;;;;;X
EE_FREE_TRANSPORT;輸送船のマップ外生産数が%+.0fポイント変化。;Off-map production of Transports changed by %+.0f.;;;;;;;;;X
EE_FREE_ESCORT;護衛艦のマップ外生産数が%+.0fポイント変化。;Off-map production of Escorts changed by %+.0f.;;;;;;;;;X
EE_FREE_SUPPLIES;物資のマップ外生産量が%+.0fポイント変化。;Off-map production of Supplies changed by %+.0f.;;;;;;;;;X
EE_FREE_OIL;石油のマップ外生産量が%+.0f.ポイント変化。;Off-map production of Oil changed by %+.0f.;;;;;;;;;X
EE_FREE_ENERGY;エネルギーのマップ外生産量が%+.0fポイント変化。;Off-map production of Energy changed by %+.0f.;;;;;;;;;X
EE_FREE_MONEY;資金のマップ外生産量が%+.0fポイント変化。;Off-map production of Money changed by %+.0f.;;;;;;;;;X
EE_FREE_METAL;金属のマップ外生産量が%+.0fポイント変化。;Off-map production of Metal changed by %+.0f.;;;;;;;;;X
EE_FREE_RAREMAT;希少資源のマップ外生産量が%+.0fポイント変化。;Off-map production of Rare Materials changed by %+.0f.;;;;;;;;;X
EE_N_CONVOY;（%s）を%sから%sへ船団で輸送する。;Create a convoy transporting (%s) from %s to %s.;;;;;;;;;X
EE_CONVOY_POOL;未配置輸送船数に%dの変化。;Unassigned Transports changed by %d.;;;;;;;;;X
EE_BUILD_DIVISION;%sの生産を開始。;Begin %s construction.;;;;;;;;;X
EE_BUILD_IMPROVEMENT;%s （%s）： %s%d;%s in %s: %s%d.;;;;;;;;;X
EE_START_RESEARCH;%sの研究を開始。;Start researching %s.;;;;;;;;;X
EE_PRIO_RESEARCH;%sの開発を最優先に設定。;Prioritize researching %s.;;;;;;;;;X
EE_END_ACCESS;%s軍の通行許可を取り消し。;Cancel military access for %s.;;;;;;;;;X
EE_LEAVE_ALLIANCE;軍事同盟から脱退する。;Leave our military alliance.;;;;;;;;;X
EE_END_PUPPET;「属国」状態から脱する。;Break our 'puppet' status.;;;;;;;;;X
EE_END_MASTERY;%sに対する「宗主権」を放棄する。;End our 'puppet mastery' over %s.;;;;;;;;;X
EE_GUARANTEE;%sが%sの独立を保障する。;%s guarantees the independence of %s.;;;;;;;;;X
EE_END_GUARANTEE;%sが%sの独立保障を放棄する。;%s ceases guaranteeing the independence of %s.;;;;;;;;;X
EE_ALLOW_CONVOY_ESCORTS;船団護衛艦が建造可能になる。;We may now build convoy escorts.;;;;;;;;;X
EE_TRANSPORT_POOL;%sにて輸送船数を%d隻追加/削除する。;%s receives %d convoy transports.;;;;;;;;;X
EE_ESCORT_POOL;%sにて%d隻の船団護衛艦が完成。;%s receives %d convoy escorts.;;;;;;;;;X
EE_PEACETIME_IC_MOD;平時のIC修正に%s%.1f\%%の変化。;Peacetime IC modifier changed by %s%.1f\%%.;;;;;;;;;X
EE_NON_AGGRESSION;%sが%sと不可侵条約を締結。;%s enters a non-aggression pact with %s.;;;;;;;;;X
EE_END_NON_AGGRESSION;%sが%sとの不可侵条約を破棄。;%s ends its non-aggression pact with %s.;;;;;;;;;X
EE_END_TRADES;%sと%sの間の貿易協定がすべて破棄される。;All trade agreements between %s and %s are canceled.;;;;;;;;;X
EE_TRADE;%s (A) と%s (B)との間に新たな貿易協定が結ばれる：;New trade agreement initiated between %s (A) and %s (B):;;;;;;;;;X
EE_TRADE_RESOURCE_POS;AからBに%.1f %s;%.1f %s from A to B.;;;;;;;;;X
EE_TRADE_RESOURCE_NEG;BからAに%.1f %s;%.1f %s from B to A.;;;;;;;;;X
EE_SET_LEADER_LOY;%s （司令官）の忠誠心が%dポイント変化。;The leader %s gets his loyalty modified by %d.;;;;;;;;;X
EE_SET_MINISTER_LOY;%s （大臣）の忠誠心が%dポイント変化。;The minister %s gets his loyalty modified by %d.;;;;;;;;;X
EE_DELETE_UNIT;%sユニットが壊滅。;Unit %s is destroyed.;;;;;;;;;X
EE_MINISTER;%sが大臣に就任可能になる。;%s can now become a minister.;;;;;;;;;X
EE_HOS;国家元首： %s;Head of State: %s.;;;;;;;;;X
EE_HOG;政府首班： %s;Head of Government: %s.;;;;;;;;;X
EE_FGNMIN;外務大臣： %s;Foreign Minister: %s.;;;;;;;;;X
EE_ARMMIN;軍需大臣： %s;Armament Minister: %s.;;;;;;;;;X
EE_SECMIN;内務大臣： %s;Minister of Security: %s.;;;;;;;;;X
EE_INTMIN;情報大臣： %s;Minister of Intelligence: %s;;;;;;;;;X
EE_STAFF;統合参謀総長： %s;Chief of Staff: %s.;;;;;;;;;X
EE_CARMY;陸軍総司令官： %s;Chief of Army: %s.;;;;;;;;;X
EE_CNAVY;海軍総司令官： %s;Chief of Navy: %s.;;;;;;;;;X
EE_CAIR;空軍総司令官： %s;Chief of Air: %s;;;;;;;;;X
EVENT_SELECTION;%s : 我が国は「%s」という選択をイベント「%s」においてしました。;%s : We went with %s in %s.;;;;;;;;;X
EVENT_SIMPLE;%s : 我が国でイベント「%s」が発生。;%s : %s happened to us.;;;;;;;;;X
EE_P_MAN;%sの労働力： %s%d;Manpower in %s: %s%d;;;;;;;;;X
EE_P_MINE;%sの鉱山数： %s%d;Mine in %s: %s%d;;;;;;;;;X
EE_POP;%sの人口： %s%d人;Population in %s: %s%d;;;;;;;;;X
EE_N_REVOLT;%sで暴動。;Revolt in %s.;;;;;;;;;X
EE_P_RR;%sで暴動が発生する危険性： %s%d;Revoltrisk in %s:  %s%d;;;;;;;;;X
EE_RRISK;暴動の危険性に%s%dポイントの変化。有効期間は%dか月。;Revoltrisk changed by %s%d for the next %d months.;;;;;;;;;X
EE_ALL;%sと同盟を締結。;Alliance with %s.;;;;;;;;;X
EE_INHERIT;国家%sを併合する。;Annex the nation of %s.;;;;;;;;;X
EE_MANPOWER;労働力： %s%d;Manpower: %s%d;;;;;;;;;X
EE_RELATIVE_MANPOWER;現在の労働力に%s%d\%%ポイントの変化。;Immediate Manpower change by %s%d\%% of total population.;;;;;;;;;X
EE_SLEADER;司令官%sが選択不可となる。;The military leader %s will no longer be available.;;;;;;;;;X
EE_TAG;国家が%sという国に変わる。;Found the nation of %s;;;;;;;;;X
EE_RELATION;%sとの関係： %s%d;Relation with %s: %s%d;;;;;;;;;X
EE_TRIGGER;イベント「%s」が発動。;Trigger the '%s' Event.;;;;;;;;;X
EE_SLEEP;イベント「%s」が発動しなくなる。;The '%s' Event will never occur.;;;;;;;;;X
EE_VP;勝利ポイント： %s%d;%s%d victorypoints.;;;;;;;;;X
EE_CB;%sに対する開戦の大義名分を獲得。有効期間はこれから%dか月。;Gain a casusbelli against %s for %d months.;;;;;;;;;X
EE_CAPITAL;%sに遷都。;Move national capital to %s.;;;;;;;;;X
EE_ADDCORE;%sが我が国のプロヴィンスとみなされる。;%s will be considered one of your national provinces.;;;;;;;;;X
EE_REMCORE;%sが我が国のプロヴィンスではなくなる。;%s will no longer be your national province.;;;;;;;;;X
EE_SECEDE;%sを%sに割譲。;Cede %s to %s.;;;;;;;;;X
EE_WAR;%sと交戦。;War with %s.;;;;;;;;;X
EE_INDY;%sの独立を承認;Grant Independence to %s;;;;;;;;;X
EE_PURGE;裏切った大臣のうち特に悪質な者%d名と、指導者%d名を処刑。;The most disloyal %d ministers and %d leaders are executed.;;;;;;;;;X
EE_DISSENT;国民不満度に%+.1f\%%ポイントの変化。;National dissent is changed by %+.1f\%%.;;;;;;;;;X
EE_REGIME_FALLS;現政権が転覆！;The current regime has been overthrown!;;;;;;;;;X
EE_LEADER_SKILL;%sは%d技能を獲得。;%s gets skill %d.;;;;;;;;;X
EE_MINISTER_SKILL;未使用コマンド;Unused command;;;;;;;;;X
EE_CIVIL_WAR;内戦が勃発！;Country is thrown into Civil War!;;;;;;;;;X
EE_STEAL_TECH;「%s」の設計図を%sより奪取。;Steal blueprints for '%s' from %s.;;;;;;;;;X
EE_RESEARCH_SABOTAGED;我が国の研究プロジェクトの1つに妨害工作が発生！;One of our research projects has been sabotaged!;;;;;;;;;X
EE_DETECT_UNITS;%d個の%sの軍隊を発見。;Detect %d armies from %s.;;;;;;;;;X
EE_LEADER_LOY;%sの忠誠心が明確になる！;%s's loyalty is revealed!;;;;;;;;;X
EE_MINISTER_LOY;%sの忠誠心が明確になる！;%s's loyalty is revealed!;;;;;;;;;X
EE_PEACE;%sと講和条約を締結。;Peace concluded with %s.;;;;;;;;;X
EE_SUPPLY_POOL;物資の備蓄量が%dポイント変化。;Supply stockpile changed by %d.;;;;;;;;;X
EE_METAL_POOL;金属の備蓄量が%dポイント変化。;Metal stockpile changed by %d.;;;;;;;;;X
EE_ENERGY_POOL;エネルギーの備蓄量が%dポイント変化。;Energy stockpile changed by %d.;;;;;;;;;X
EE_OIL_POOL;石油の備蓄量が%dポイント変化。;Oil stockpile increased with %d.;;;;;;;;;X
EE_RARE_MATERIALS_POOL;希少資源の備蓄量が%dポイント変化。;Rare Materials stockpile changed by %d.;;;;;;;;;X
EE_KEYPOINTS;%sのキーポイント値に%dの変化;Keypoint value in %s changed by %d.;;;;;;;;;X
EE_WAR_ENTRY;%sへの参戦状態に%dポイントの変化。;War entry for %s changed by %d.;;;;;;;;;X
EE_WAR_ENTRY_US;参戦状態に%dポイントの変化。;War entry changed by %d.;;;;;;;;;X
EE_MAKE_PUPPET;%sが属国になる。;%s is made a puppet nation.;;;;;;;;;X
EE_COUP_NATION;%sでクーデターが発生。;A coup is staged in %s.;;;;;;;;;X
EE_ACCESS;%s軍の通行を承認。;Grant military access to %s.;;;;;;;;;X
EE_SMINISTER;%s大臣が選択不可となる。;The minister %s is no longer available.;;;;;;;;;X
EE_STEAM;研究チーム%sが選択不可となる。;Research Team %s is no longer available.;;;;;;;;;X
EE_WTEAM;研究チーム%sが選択可能となる。;Research Team %s is now available.;;;;;;;;;X
EE_GAIN_TECH;「%s」の設計図を入手;Gain a blueprint for technology '%s'.;;;;;;;;;X
EE_SWITCH_ALLEGIANCE;%sユニットが%sに亡命。;Unit %s defects to %s.;;;;;;;;;X
EE_NOW;;;;;;;;;;;X
EE_ON_UPGRADE;(U);(U);;;;;;;;;X
EE_US;(自国);Us;;;;;;;;;X
EE_THEM;(他国);Them;;;;;;;;;X
EE_TOTAL;合計;Total;;;;;;;;;X
EE_SUPPLIES;物資;Supplies;;;;;;;;;X
EE_ENERGY_TO_OIL;エネルギーから石油への変換;Energy-To-Oil;;;;;;;;;X
EE_OIL_TO_RARE_MATERIALS;石油から希少資源への変換;Oil-To-Rare-Materials;;;;;;;;;X
EE_SOFT_ATTACK;対人攻撃力;Soft Attack;;;;;;;;;X
EE_HARD_ATTACK;対戦車攻撃力;Hard Attack;;;;;;;;;X
EE_AIR_ATTACK;対空攻撃力;Air Attack;;;;;;;;;X
EE_NAVAL_ATTACK;艦船攻撃力;Naval Attack;;;;;;;;;X
EE_CONVOY_ATTACK;船団攻撃力;Convoy attack;;;;;;;;;X
EE_SUB_ATTACK;対潜攻撃力;Sub Attack;;;;;;;;;X
EE_STRATEGIC_ATTACK;戦略爆撃力;Strategic Attack;;;;;;;;;X
EE_GROUND_DEFENSE;対地防御度;Defensiveness;;;;;;;;;X
EE_AIR_DEFENSE;対空防御度;Air Defense;;;;;;;;;X
EE_NAVAL_DEFENSE;対艦防御度;Naval Defense;;;;;;;;;X
EE_BUILD_COST;費用;Cost;;;;;;;;;X
EE_BUILD_TIME;生産時間;Time;;;;;;;;;X
EE_REQ_MANPOWER;必要労働力;Manpower;;;;;;;;;X
EE_SPEED;速度;Speed;;;;;;;;;X
EE_SPEED_CAP_ART;砲兵最高速度;Artillery Speed-cap;;;;;;;;;X
EE_SPEED_CAP_AT;対戦車砲最高速度;Antitank Speed-cap;;;;;;;;;X
EE_SPEED_CAP_AA;対空砲最高速度;Anti-air Speed-cap;;;;;;;;;X
EE_SPEED_CAP_ENG;工兵最高速度;Engineer Speed-cap;;;;;;;;;X
EE_MAX_ORG;最大指揮統制率;MaxOrg;;;;;;;;;X
EE_MORALE;士気;Morale;;;;;;;;;X
EE_WEIGHT;負荷;Weight;;;;;;;;;X
EE_SUPPLY_CONSUMPTION;物資消費量;Supply Consumption;;;;;;;;;X
EE_FUEL_CONSUMPTION;燃料消費量;Fuel Consumption;;;;;;;;;X
EE_RANGE;航続距離;Range;;;;;;;;;X
EE_VISIBILITY;被発見性;Visibility;;;;;;;;;X
EE_AIR_DETECTION;対空索敵力;Air Detection;;;;;;;;;X
EE_SURFACE_DETECTION;対地/対艦索敵力;Surface Detection;;;;;;;;;X
EE_SUB_DETECTION;対潜索敵力;Submarine Detection;;;;;;;;;X
EE_TRANSPORT_CAPACITY;輸送能力;Transport Capacity;;;;;;;;;X
EE_AIRCRAFT_CAPACITY;機内搭載能力;Aircraft Capacity;;;;;;;;;X
EE_NEW_MODEL;新型;New Model;;;;;;;;;X
EE_ACTIVATE_UNIT_TYPE;生産可能になるユニット;Activate Unit Type;;;;;;;;;X
EE_ABOMB_ALLOWED;原爆の生産が可能となる。（実験用原子炉の開発が必要とされるレベルまで進んでいる場合）;We can now produce Atomic Bombs (if our test reactor is advanced enough.);;;;;;;;;X
EE_MAX_REACTOR_SIZE;原子炉の最大規模：;Max Reactor Size:;;;;;;;;;X
EE_MISSILE_CARRIER;潜水艦からミサイルが発射可能になる;Subs may now launch Missiles;;;;;;;;;X
EE_MINISUB_BONUS;小型潜ボーナス;Minisub Bonus;;;;;;;;;X
EE_SURPRISE;奇襲成功確率;Surprise Chance;;;;;;;;;X
EE_INTELLIGENCE;先制確率;IntOp Chance;;;;;;;;;X
EE_ARMY_DETECTION;軍事行動探知確率;Army detection Chance;;;;;;;;;X
EE_AA_BATTERIES;対空砲数;Flak Power;;;;;;;;;X
EE_INDUSTRIAL_MULTIPLIER;生産力増加係数;Industrial Multiplier;;;;;;;;;X
EE_INDUSTRIAL_MODIFIER;生産効率;Industrial Efficiency;;;;;;;;;X
EE_CARRIER_LEVEL;空母ドクトリン;Carrier Doctrine;;;;;;;;;X
EE_DEACTIVATE_TECH;無効になる技術;Deactivate Techs;;;;;;;;;X
EE_LAND_FORT_EFF;陸上要塞の防御効率;Land Fort Efficiency;;;;;;;;;X
EE_COAST_FORT_EFF;沿岸要塞の防御効率;Coast Fort Efficiency;;;;;;;;;X
EE_CONVOY_DEF_EFF;輸送船団の護衛効率;Convoy Escort Efficiency;;;;;;;;;X
EE_GROUND_DEF_EFF;対地防御効率;Ground Defense Efficiency;;;;;;;;;X
EE_BLIZZARD_ATTACK;吹雪中の攻撃;Blizzard Attack;;;;;;;;;X
EE_SNOW_ATTACK;降雪中の攻撃;Snow Attack;;;;;;;;;X
EE_FROZEN_ATTACK;氷点下での攻撃;Frozen Attack;;;;;;;;;X
EE_RAIN_ATTACK;降雨中の攻撃;Rain Attack;;;;;;;;;X
EE_STORM_ATTACK;暴風雨中の攻撃;Storm Attack;;;;;;;;;X
EE_MUDDY_ATTACK;泥濘地での攻撃;Muddy Attack;;;;;;;;;X
EE_NIGHT_ATTACK;夜間攻撃;Night Attack;;;;;;;;;X
EE_DESERT_ATTACK;砂漠攻撃;Desert Attack;;;;;;;;;X
EE_MOUNTAIN_ATTACK;山岳攻撃;Mountain Attack;;;;;;;;;X
EE_HILL_ATTACK;丘陵攻撃;Hill Attack;;;;;;;;;X
EE_FOREST_ATTACK;森林攻撃;Forest Attack;;;;;;;;;X
EE_JUNGLE_ATTACK;密林攻撃;Jungle Attack;;;;;;;;;X
EE_SWAMP_ATTACK;湿地攻撃;Swamp Attack;;;;;;;;;X
EE_URBAN_ATTACK;市街地攻撃;Urban Attack;;;;;;;;;X
EE_RIVER_ATTACK;渡河攻撃;River Attack;;;;;;;;;X
EE_SHORE_ATTACK;沿岸攻撃;Shore Attack;;;;;;;;;X
EE_PARADROP_ATTACK;空挺攻撃;Paradrop Attack;;;;;;;;;X
EE_FORT_ATTACK;要塞攻撃;Fort Attack;;;;;;;;;X
EE_BLIZZARD_DEFENSE;吹雪中の防御;Blizzard Defense;;;;;;;;;X
EE_SNOW_DEFENSE;降雪中の防御;Snow Defense;;;;;;;;;X
EE_FROZEN_DEFENSE;氷点下での防御;Frozen Defense;;;;;;;;;X
EE_RAIN_DEFENSE;降雨中の防御;Rain Defense;;;;;;;;;X
EE_STORM_DEFENSE;暴風雨中の防御;Storm Defense;;;;;;;;;X
EE_MUDDY_DEFENSE;泥濘地防御;Muddy Defense;;;;;;;;;X
EE_NIGHT_DEFENSE;夜間防御;Night Defense;;;;;;;;;X
EE_DESERT_DEFENSE;砂漠防御;Desert Defense;;;;;;;;;X
EE_MOUNTAIN_DEFENSE;山岳防御;Mountain Defense;;;;;;;;;X
EE_HILL_DEFENSE;丘陵防御;Hill Defense;;;;;;;;;X
